Sample,A0,A1,A2
469,544.0,319.0,198.0
470,548.0,317.0,204.0
471,552.0,315.0,208.0
472,552.0,313.0,211.0
473,547.0,310.0,211.0
474,546.0,305.0,209.0
475,551.0,305.0,206.0
476,555.0,311.0,207.0
477,557.0,318.0,210.0
478,557.0,322.0,213.0
479,555.0,323.0,216.0
480,553.0,320.0,214.0
481,548.0,315.0,212.0
482,538.0,314.0,209.0
483,534.0,317.0,204.0
484,537.0,318.0,202.0
485,541.0,318.0,202.0
486,545.0,318.0,203.0
487,550.0,317.0,206.0
488,552.0,315.0,208.0
489,552.0,313.0,208.0
490,544.0,308.0,205.0
491,548.0,304.0,204.0
492,552.0,307.0,204.0
493,555.0,314.0,206.0
494,557.0,320.0,208.0
495,557.0,324.0,211.0
496,555.0,324.0,211.0
497,551.0,320.0,210.0
498,545.0,314.0,207.0
499,535.0,316.0,203.0
500,534.0,318.0,201.0
501,538.0,320.0,199.0
502,542.0,320.0,201.0
503,547.0,319.0,204.0
504,550.0,318.0,207.0
505,552.0,315.0,209.0
506,549.0,313.0,210.0
507,545.0,308.0,207.0
508,549.0,306.0,205.0
509,553.0,310.0,205.0
510,556.0,317.0,208.0
511,556.0,323.0,210.0
512,556.0,326.0,212.0
513,553.0,323.0,213.0
514,550.0,317.0,211.0
515,541.0,315.0,208.0
516,534.0,317.0,204.0
517,534.0,319.0,201.0
518,539.0,320.0,201.0
519,544.0,320.0,203.0
520,549.0,319.0,207.0
521,551.0,318.0,210.0
522,552.0,315.0,213.0
523,546.0,312.0,213.0
524,547.0,306.0,211.0
525,551.0,307.0,209.0
526,555.0,313.0,211.0
527,557.0,320.0,214.0
528,557.0,324.0,216.0
529,556.0,325.0,217.0
530,552.0,322.0,218.0
531,547.0,316.0,215.0
532,538.0,315.0,212.0
533,533.0,319.0,207.0
534,536.0,320.0,206.0
535,541.0,321.0,205.0
536,545.0,319.0,207.0
537,549.0,318.0,209.0
538,551.0,316.0,210.0
539,551.0,314.0,211.0
540,544.0,310.0,208.0
541,548.0,306.0,206.0
542,552.0,309.0,206.0
543,555.0,316.0,208.0
544,557.0,321.0,211.0
545,556.0,325.0,214.0
546,554.0,325.0,215.0
547,550.0,319.0,213.0
548,545.0,315.0,210.0
549,535.0,317.0,207.0
550,533.0,319.0,202.0
551,538.0,320.0,201.0
552,543.0,321.0,202.0
553,547.0,320.0,205.0
554,551.0,318.0,208.0
555,552.0,315.0,211.0
556,549.0,313.0,211.0
557,546.0,307.0,207.0
558,550.0,306.0,206.0
559,554.0,312.0,206.0
560,556.0,318.0,208.0
561,557.0,323.0,211.0
562,556.0,326.0,213.0
563,553.0,323.0,214.0
564,550.0,316.0,211.0
565,541.0,315.0,207.0
566,534.0,318.0,204.0
567,535.0,319.0,201.0
568,540.0,321.0,202.0
569,544.0,320.0,205.0
570,548.0,319.0,208.0
571,552.0,317.0,209.0
572,552.0,315.0,210.0
573,545.0,312.0,208.0
574,547.0,307.0,205.0
575,551.0,307.0,205.0
576,555.0,314.0,206.0
577,557.0,320.0,209.0
578,557.0,324.0,211.0
579,555.0,325.0,213.0
580,552.0,321.0,213.0
581,547.0,315.0,209.0
582,537.0,315.0,205.0
583,533.0,318.0,202.0
584,537.0,319.0,201.0
585,542.0,320.0,201.0
586,546.0,319.0,203.0
587,550.0,318.0,206.0
588,552.0,316.0,208.0
589,552.0,313.0,208.0
590,544.0,309.0,205.0
591,549.0,305.0,202.0
592,553.0,309.0,203.0
593,556.0,316.0,205.0
594,557.0,321.0,208.0
595,557.0,325.0,210.0
596,554.0,324.0,211.0
597,551.0,319.0,209.0
598,545.0,314.0,206.0
599,535.0,316.0,202.0
600,533.0,318.0,199.0
601,538.0,319.0,199.0
602,543.0,319.0,200.0
603,547.0,319.0,204.0
604,551.0,316.0,209.0
605,552.0,315.0,212.0
606,548.0,312.0,214.0
607,546.0,306.0,211.0
608,550.0,306.0,208.0
609,554.0,311.0,208.0
610,557.0,317.0,211.0
611,557.0,322.0,214.0
612,556.0,325.0,216.0
613,553.0,322.0,216.0
614,549.0,316.0,215.0
615,540.0,315.0,211.0
616,533.0,318.0,206.0
617,535.0,319.0,204.0
618,540.0,319.0,203.0
619,545.0,319.0,204.0
620,549.0,318.0,206.0
